  Time                 , V(R1:1)              , V(U2:OUT)            
  1.000000000000e-10  ,4.950000000000e-01  ,5.665562088221e-07  
  1.028001522878e-10  ,4.948599923856e-01  ,5.828545670995e-07  
  1.084004568635e-10  ,4.945799771568e-01  ,6.163637276509e-07  
  1.196010660147e-10  ,4.940199466993e-01  ,6.886578817226e-07  
  1.420022843173e-10  ,4.928998857841e-01  ,8.539272406388e-07  
  1.868047209224e-10  ,4.906597639539e-01  ,1.265092268372e-06  
  2.764095941326e-10  ,4.861795202934e-01  ,2.404759994926e-06  
  4.556193405529e-10  ,4.772190329724e-01  ,5.968506717131e-06  
  8.140388333937e-10  ,4.592980583303e-01  ,1.849114476207e-05  
  1.530877819075e-09  ,4.234561090462e-01  ,6.619182574507e-05  
  2.964555790438e-09  ,3.517722104781e-01  ,2.516094840220e-04  
  5.710467269435e-09  ,2.144766365283e-01  ,9.219022539417e-04  
  8.811398913874e-09  ,5.943005430629e-02  ,2.143917404218e-03  
  1.000400000000e-08  ,0.000000000000e+00  ,2.734150846170e-03  
  1.062418632889e-08  ,0.000000000000e+00  ,3.073558442867e-03  
  1.186452173376e-08  ,0.000000000000e+00  ,3.783943138467e-03  
  1.434519254351e-08  ,0.000000000000e+00  ,5.385491902048e-03  
  1.930653416300e-08  ,0.000000000000e+00  ,9.232077541114e-03  
  2.922921740198e-08  ,0.000000000000e+00  ,1.898002543776e-02  
  4.907458387995e-08  ,0.000000000000e+00  ,4.385753303143e-02  
  8.549898230219e-08  ,0.000000000000e+00  ,9.851327431622e-02  
  1.385709580102e-07  ,0.000000000000e+00  ,1.842515161571e-01  
  2.154013451257e-07  ,0.000000000000e+00  ,3.129076061439e-01  
  3.451964195886e-07  ,0.000000000000e+00  ,5.300294929268e-01  
  5.199333962121e-07  ,0.000000000000e+00  ,8.123929319157e-01  
  6.834170159020e-07  ,0.000000000000e+00  ,7.903648368188e-01  
  8.515259560266e-07  ,0.000000000000e+00  ,6.007429916498e-01  
  1.032747918002e-06  ,0.000000000000e+00  ,3.336781603693e-01  
  1.251115494601e-06  ,0.000000000000e+00  ,-2.105472591162e-02  
  1.597966843478e-06  ,0.000000000000e+00  ,-5.868550815176e-01  
  2.071323090426e-06  ,0.000000000000e+00  ,-1.168568356747e+00  
  2.440442734591e-06  ,0.000000000000e+00  ,-1.252917542000e+00  
  2.798738175265e-06  ,0.000000000000e+00  ,-1.094190557693e+00  
  3.027763062350e-06  ,0.000000000000e+00  ,-9.687395107997e-01  
  3.298892670504e-06  ,0.000000000000e+00  ,-8.367993978384e-01  
  3.621711426608e-06  ,0.000000000000e+00  ,-7.091263698247e-01  
  4.155959778658e-06  ,0.000000000000e+00  ,-5.470580984267e-01  
  4.625310593478e-06  ,0.000000000000e+00  ,-4.330946534280e-01  
  5.235280686251e-06  ,0.000000000000e+00  ,-3.210304280859e-01  
  6.455220871798e-06  ,0.000000000000e+00  ,-1.812747110950e-01  
  7.585706406466e-06  ,0.000000000000e+00  ,-1.106494748734e-01  
  8.657445603243e-06  ,0.000000000000e+00  ,-7.589094307558e-02  
  9.792127304904e-06  ,0.000000000000e+00  ,-6.066874603069e-02  
  1.106070488059e-05  ,0.000000000000e+00  ,-5.222689629721e-02  
  1.232012718283e-05  ,0.000000000000e+00  ,-4.824831295679e-02  
  1.483897178733e-05  ,0.000000000000e+00  ,-4.524361485339e-02  
  1.785639732443e-05  ,0.000000000000e+00  ,-4.466206800164e-02  
  2.302988975608e-05  ,0.000000000000e+00  ,-4.458245413306e-02  
  3.027705162131e-05  ,0.000000000000e+00  ,-4.456179232116e-02  
  4.477137535178e-05  ,0.000000000000e+00  ,-4.449963425378e-02  
  7.376002281272e-05  ,0.000000000000e+00  ,-4.437170263964e-02  
  1.317373177346e-04  ,0.000000000000e+00  ,-4.412791503244e-02  
  2.476919075783e-04  ,0.000000000000e+00  ,-4.363681819866e-02  
  4.796010872658e-04  ,0.000000000000e+00  ,-4.267412518390e-02  
  9.434194466408e-04  ,0.000000000000e+00  ,-4.081504545266e-02  
  1.871056165391e-03  ,0.000000000000e+00  ,-3.734450433174e-02  
  3.726329602891e-03  ,0.000000000000e+00  ,-3.129151410749e-02  
  7.436876477891e-03  ,0.000000000000e+00  ,-2.204037376218e-02  
  1.485797022789e-02  ,0.000000000000e+00  ,-1.109595041780e-02  
  2.315015772789e-02  ,0.000000000000e+00  ,-5.158623489625e-03  
  3.160328272789e-02  ,0.000000000000e+00  ,-3.321419556373e-03  
  3.861812647789e-02  ,0.000000000000e+00  ,-2.647221940386e-03  
  4.655093897789e-02  ,0.000000000000e+00  ,-2.447473995513e-03  
  5.899468897789e-02  ,0.000000000000e+00  ,-2.421751979353e-03  
  7.236812647789e-02  ,0.000000000000e+00  ,-2.598843632207e-03  
  9.911500147789e-02  ,0.000000000000e+00  ,-2.994021231756e-03  
  1.340400014779e-01  ,0.000000000000e+00  ,-3.519948948937e-03  
  1.740400014779e-01  ,0.000000000000e+00  ,-4.120746954901e-03  
  2.140400014779e-01  ,0.000000000000e+00  ,-4.721957510180e-03  
  2.540400014779e-01  ,0.000000000000e+00  ,-5.323030298783e-03  
  2.940400014779e-01  ,0.000000000000e+00  ,-5.924148862177e-03  
  3.000000100040e-01  ,2.000011268764e-04  ,-5.018155243864e-03  
  3.000000110036e-01  ,5.018000184686e-02  ,-5.018154896848e-03  
  3.000000130030e-01  ,1.501481662016e-01  ,-5.018154140594e-03  
